,Shot Number,Beam,Latitude,Longitude,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity
2701,4.126080560003782e+16,BEAM1000,-8.13912764624564,115.06536614036156,54.05746078491211,57.77363586425781,66.12801361083984,8.350000381469727,6.590000152587891,-3.25,1.0,0.0,0.9753561019897461
2702,4.126080580003782e+16,BEAM1000,-8.138707964516534,115.06566996778214,61.435672760009766,56.48368453979492,75.40280151367188,18.90999984741211,16.739999771118164,-0.7400000095367432,1.0,0.0,0.9729792475700378
2703,4.126080600003782e+16,BEAM1000,-8.138288984706543,115.06597413351847,61.435672760009766,58.933082580566406,67.58717346191406,8.649999618530273,7.0,-0.5600000023841858,1.0,0.0,0.9685530066490173
2704,4.126080620003782e+16,BEAM1000,-8.13786994698148,115.06627832479518,62.087345123291016,61.280479431152344,71.02101135253906,9.739999771118164,7.449999809265137,-1.7899999618530273,1.0,0.0,0.9578790664672852
2705,4.126080640003782e+16,BEAM1000,-8.137450138353366,115.06658224638005,62.087345123291016,59.91339874267578,69.3542251586914,9.4399995803833,8.010000228881836,-0.18000000715255737,1.0,0.0,0.9583102464675903
2706,4.126080660003783e+16,BEAM1000,-8.137030911775268,115.06688645039458,59.779571533203125,61.658145904541016,66.15377807617188,4.489999771118164,3.0999999046325684,-2.2799999713897705,1.0,0.0,0.9688159823417664
2707,4.126080680003783e+16,BEAM1000,-8.136610071874493,115.06719003599255,57.697872161865234,55.42314910888672,66.17520141601562,10.75,9.399999618530273,-0.3700000047683716,1.0,0.0,0.9525647759437561
2708,4.126080700003783e+16,BEAM1000,-8.136188652648894,115.06749342351225,57.25254821777344,46.41876220703125,68.48481750488281,22.059999465942383,20.34000015258789,6.440000057220459,1.0,0.0,0.9670264720916748
2709,4.126080720003783e+16,BEAM1000,-8.135770299368577,115.06779810310081,57.25254821777344,53.044273376464844,68.06716918945312,15.020000457763672,11.199999809265137,-1.0800000429153442,1.0,0.0,0.9755735397338867
2710,4.126080740003783e+16,BEAM1000,-8.135350924735922,115.06810239939837,59.183860778808594,54.65503692626953,60.53681945800781,5.880000114440918,3.890000104904175,-1.190000057220459,1.0,0.0,0.9734711647033691
2711,4.126080760003783e+16,BEAM1000,-8.134931624904944,115.06840675842477,59.183860778808594,56.77634048461914,64.30652618408203,7.53000020980835,5.610000133514404,-0.9300000071525574,1.0,0.0,0.9757150411605835
2712,4.126080780003783e+16,BEAM1000,-8.134511741827435,115.06871090847288,58.86178970336914,56.077980041503906,64.54475402832031,8.460000038146973,6.929999828338623,-0.5899999737739563,1.0,0.0,0.9625335335731506
2713,4.126080800003784e+16,BEAM1000,-8.13409153102033,115.06901495202577,57.18464279174805,53.843379974365234,63.359130859375,9.510000228881836,7.380000114440918,-0.7799999713897705,1.0,0.0,0.9725069403648376
2714,4.126080820003784e+16,BEAM1000,-8.133672375426649,115.06931945306854,56.902137756347656,57.04846954345703,62.8178596496582,5.760000228881836,3.9700000286102295,-2.319999933242798,1.0,0.0,0.9581677913665771
2715,4.126080840003784e+16,BEAM1000,-8.133252436876079,115.06962365617773,59.365928649902344,56.40156555175781,66.66658782958984,10.260000228881836,8.239999771118164,-0.7099999785423279,1.0,0.0,0.9704086780548096
2716,4.126080860003784e+16,BEAM1000,-8.1328320772238,115.06992770747974,53.72092819213867,53.72347640991211,62.15278244018555,8.420000076293945,6.849999904632568,-0.33000001311302185,1.0,0.0,0.9696927070617676
2717,4.126080880003784e+16,BEAM1000,-8.132411710470846,115.07023177434182,53.72092819213867,51.09803009033203,58.51582336425781,7.409999847412109,4.639999866485596,-1.340000033378601,1.0,0.0,0.9762784838676453
2718,4.126080900003784e+16,BEAM1000,-8.131991523155149,115.07053593015253,51.798797607421875,49.456302642822266,54.026859283447266,4.570000171661377,3.0999999046325684,-1.159999966621399,1.0,0.0,0.9705675840377808
2719,4.126080920003784e+16,BEAM1000,-8.131572182959555,115.07084044625664,51.798797607421875,52.16373825073242,64.37686920166016,12.210000038146973,9.619999885559082,-1.5700000524520874,1.0,0.0,0.9704612493515015
2720,4.126080940003784e+16,BEAM1000,-8.131152291447751,115.07114474807499,51.10703659057617,52.152496337890625,55.82392883300781,3.6700000762939453,2.509999990463257,-1.190000057220459,1.0,0.0,0.9729670882225037
2721,4.126080960003784e+16,BEAM1000,-8.130732049347879,115.07144891483755,52.02446746826172,50.425697326660156,54.69654846191406,4.269999980926514,2.990000009536743,-1.159999966621399,1.0,0.0,0.9723988771438599
2722,4.126080980003785e+16,BEAM1000,-8.130312170365004,115.07175323653505,50.68850326538086,50.58012390136719,54.438873291015625,3.8499999046325684,2.619999885559082,-1.159999966621399,1.0,0.0,0.9689954519271851
2723,4.126081000003785e+16,BEAM1000,-8.12989246551208,115.07205763346374,50.68850326538086,51.653900146484375,61.13218688964844,9.470000267028809,7.53000020980835,-0.9300000071525574,1.0,0.0,0.9727374315261841
2724,4.126081020003785e+16,BEAM1000,-8.129472577918124,115.07236195788813,55.054832458496094,51.84019088745117,63.9783935546875,12.130000114440918,10.479999542236328,0.4399999976158142,1.0,0.0,0.9624866247177124
2725,4.126081040003785e+16,BEAM1000,-8.129052720333181,115.07266629334221,55.054832458496094,52.20109558105469,61.07996368408203,8.869999885559082,6.78000020980835,-1.0099999904632568,1.0,0.0,0.9726983308792114
